mV_1,uA_1,i1_bac1,i1_bac2,i1_bac3,i1_bac4,i1_bac5,mV_2,uA_2,i2_bac1,i2_bac2,i2_bac3,i2_bac4,i2_bac5,mV_3,uA_3,i3_bac1,i3_bac2,i3_bac3,i3_bac4,i3_bac5,mV_4,uA_4,i4_bac1,i4_bac2,i4_bac3,i4_bac4,i4_bac5,mV_5,uA_5,i5_bac1,i5_bac2,i5_bac3,i5_bac4,i5_bac5
-200.0,3.98409,3.98,3.98,3.98,3.98,3.98,-200.0,-15.4969,-15.5,-15.5,-15.5,-15.5,-15.5,-200.0,-18.28812,-18.29,-18.29,-18.29,-18.29,-18.29,-200.0,-19.61179,-19.61,-19.61,-19.61,-19.61,-19.61,-200.0,-20.21608,-20.22,-20.22,-20.22,-20.22,-20.22
-190.0,4.01287,4.34,4.28,4.45,4.63,4.78,-190.0,-14.83507,-14.59,-14.63,-14.46,-14.27,-14.11,-190.0,-17.65506,-17.36,-17.4,-17.23,-17.04,-16.89,-190.0,-18.94996,-18.67,-18.72,-18.55,-18.36,-18.21,-190.0,-19.52547,-19.27,-19.31,-19.15,-18.96,-18.82
-180.0,4.01287,4.71,4.57,4.89,5.25,5.53,-180.0,-14.25955,-13.66,-13.79,-13.45,-13.08,-12.77,-180.0,-17.022,-16.41,-16.54,-16.2,-15.83,-15.53,-180.0,-18.34567,-17.72,-17.84,-17.51,-17.14,-16.85,-180.0,-18.92118,-18.31,-18.43,-18.1,-17.74,-17.46
-170.0,3.98409,5.14,4.83,5.29,5.81,6.22,-170.0,-13.71282,-12.69,-12.98,-12.5,-11.95,-11.51,-170.0,-16.47527,-15.42,-15.71,-15.23,-14.69,-14.25,-170.0,-17.79894,-16.72,-17.0,-16.52,-15.99,-15.57,-170.0,-18.37445,-17.31,-17.59,-17.11,-16.59,-16.18
-160.0,13.1347,5.48,5.04,5.64,6.29,6.81,-160.0,-3.12345,-11.82,-12.23,-11.61,-10.92,-10.37,-160.0,-5.71324,-14.53,-14.95,-14.32,-13.64,-13.1,-160.0,-6.92181,-15.82,-16.23,-15.61,-14.93,-14.41,-160.0,-7.43977,-16.4,-16.8,-16.19,-15.53,-15.02
-150.0,5.04879,5.61,5.2,5.91,6.67,7.27,-150.0,-11.52589,-11.21,-11.56,-10.82,-10.02,-9.38,-150.0,-14.23078,-13.9,-14.25,-13.51,-12.71,-12.09,-150.0,-15.4969,-15.18,-15.52,-14.78,-14.0,-13.39,-150.0,-16.07241,-15.77,-16.09,-15.36,-14.59,-14.0
-140.0,4.58838,5.66,5.32,6.1,6.94,7.59,-140.0,-11.55466,-10.71,-10.95,-10.13,-9.26,-8.57,-140.0,-14.23078,-13.39,-13.63,-12.8,-11.93,-11.25,-140.0,-15.52567,-14.66,-14.89,-14.07,-13.21,-12.54,-140.0,-16.10118,-15.25,-15.46,-14.64,-13.8,-13.15
-130.0,4.41573,5.77,5.39,6.2,7.07,7.74,-130.0,-11.32446,-10.16,-10.41,-9.56,-8.65,-7.95,-130.0,-14.00058,-12.82,-13.06,-12.21,-11.31,-10.61,-130.0,-15.2667,-14.09,-14.32,-13.46,-12.57,-11.89,-130.0,-15.84221,-14.68,-14.88,-14.03,-13.15,-12.49
-120.0,4.32941,5.96,5.44,6.21,7.06,7.72,-120.0,-11.0367,-9.54,-9.92,-9.1,-8.22,-7.52,-120.0,-13.71282,-12.18,-12.55,-11.73,-10.85,-10.16,-120.0,-14.95016,-13.44,-13.79,-12.98,-12.1,-11.43,-120.0,-15.52567,-14.03,-14.36,-13.54,-12.68,-12.02
-110.0,4.30063,6.26,5.46,6.13,6.92,7.54,-110.0,-10.74895,-8.82,-9.47,-8.77,-7.94,-7.3,-110.0,-13.36752,-11.44,-12.08,-11.37,-10.55,-9.91,-110.0,-14.63364,-12.69,-13.32,-12.61,-11.79,-11.16,-110.0,-15.20915,-13.29,-13.88,-13.16,-12.36,-11.74
